,User,Tweets,Subjectivity,Polarity,Analysis
0,ItsRozBitches,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
1,admiralrebelyn,"this bullshit needs to stop. i was weeping reading this. when did we stop loving our men and boys?! 

MenToo ",0.95,0.75,Positive
2,Lechantdejuan,": Exclusive : Caught kissing Cara Delevigne - In the elevator penthouse. Where’s the fear ? Not Mr. Depp, How many people wh…",0.5,0.5,Positive
3,moosashead,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
4,zeina_99_,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
5,rationalreserve,"  3. I'm putting the responsibility on feminists individually. I don't see how saying MenToo has anything to do with putting responsibility on anyone, it's simply raising awareness.",0.37857142857142856,0.0,Neutral
6,agnes_goldberg,     Thanks uniquely awesomeness. You are an amazing artist and I appreciate your hard work and the courage you have to stand up for what’s right in the face of these baseless attacks. IStandWithStevieJRaw CrocoheardDundee EnceladusWaters MenToo StopCancelColture TheTruthMatters,0.6354761904761904,0.23380952380952377,Positive
7,GaryGrit,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
8,TheInvi80692073,": Can we PLEASE get male abuse victims more help? 
MenToo AbuseHasNoGender    ",0.3,0.25,Positive
9,TheInvi80692073,":  I love Gary Oldman another amazing actor with so much talent, I didn't know that he went through this. I'm…",0.5666666666666667,0.43333333333333335,Positive
10,rationalreserve," Unlike you people, we aren't saying MenToo so we can point fingers, but rather so we can garner support since there are little to no domestic violence shelters for men. Crazy idea, maybe people can support something without finding some demographic to blame like a bigot?",0.5,-0.2625,Negative
11,drveeranna,": Dear Feminists do you know ,you are blessed to be born in India.

As men are suppressed by legal ways,women tend to fee…",0.2,0.2,Positive
12,AkramLkNTR,": Men are hit
Men are raped
Men are kicked
Men are beaten
Men are punched
Men are exploited
Men are controlled
Men are gasli…",0.0,0.0,Neutral
13,TheInvi80692073,_bertelson: I too am sorry that they themselves were not believed but they have to look at the evidence with unblinded eyes. There was…,1.0,-0.5,Negative
14,TheInvi80692073,": Triggered the hell outta me. I had to stop reminded me so much of my abuser.
JOHNNYDEPPWINS
JohnnyDeppWon
AbuseHasNoGen…",0.2,0.2,Positive
15,TheInvi80692073,Read this article posted by  AbuseHasNoGender MenToo SpreadTheWord ,0.0,0.0,Neutral
16,Ranigill108,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
17,Margo123452022, I've never heard anyone say that. MenToo,0.0,0.0,Neutral
18,TurdBlaster911,": Catch me at San Diego Comic Con protesting Amber Heard still not being fired from Aquaman 2
_Con …",0.5,0.25,Positive
19,suddenupdraft,":  You need to retweet the hashtags. boycottaquaman2
JohnnyDeppWillWinAgain
AmberHeardlsAnAbuser 
MenTo…",0.0,0.0,Neutral
20,LUCY02_NYC, I always thought it was Johnny that wanted the cameras in the courtroom. And with good reason. I’m glad MSM isn’t able to change the narrative. We all saw what we saw. MenToo JohnnyDeppWins,0.7416666666666667,0.5666666666666667,Positive
21,nightmeirewulf,because he is the king of memorizing stuff. JohnnyDeppWillWinAgain JohnnyDeppWon StayMad MenToo MePoo ,0.0,0.0,Neutral
22,biird_e,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
23,TeriCarson,": Good. Let her rot. Being an arsehole isn't a capital offense, she deserves to be in prison. AbuseHasNoGender MenToo…",0.6000000000000001,0.7,Positive
24,ashley_persico,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
25,JDaawgLivesHere,___: Lies. Manipulation. Fabrication.  Arrogance. Conceit. They really are just mini 💩's aren't they? This is horrifying. Wow. 😨…,0.7333333333333334,-0.19999999999999998,Negative
26,TheInvi80692073,"Good. Let her rot. Being an arsehole isn't a capital offense, she deserves to be in prison. AbuseHasNoGender MenToo SpreadTheWord ",0.6000000000000001,0.7,Positive
27,Margo123452022," You need to retweet the hashtags. boycottaquaman2
JohnnyDeppWillWinAgain
AmberHeardlsAnAbuser 
MenToo
AmberHeardNoACLU",0.0,0.0,Neutral
28,BakraofDv,"Dear Lawyers,
Why you people are not supporting the husbands/males fighting against flase cases ?

Why you tell them to settle the matter by paying MONEY ?

Landmark Judgements will only come when real truth wins.

Come on you  hv studied for that, dont be scared!
MenToo
",0.4375,0.1125,Positive
29,LoopPamela,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
30,TheInvi80692073,":  Shenanigans must be stopped in its tracks. Though Seriously, the Feminazi needs an Injection to the butt. Th…",0.6666666666666666,-0.3333333333333333,Negative
31,NuBeeLuna,"  Truth Justice AbuseHasNoGender
Mentoo YouAreNotAlone NarcissisticAbuse 

STILL... please retweet.
Thanks for your time. ",0.2,0.2,Positive
32,DobszaiEszter,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
33,implacableMRA,": Indian Legal System + Women Empowerment = False Cases

MenToo",0.4,-0.10000000000000003,Negative
34,0000Od0,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
35,VedaJSimpson1," Older, richer and more famous is what made him a target. He’s also kind, giving and has the capacity to love someone other than himself. Characteristics AH probably saw as easy to manipulate. She despised his goodness. Mistook his meekness for weakness NeverFearTruth MenToo",0.6488095238095238,0.3678571428571429,Positive
36,freckles2701,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
37,Vaishna58981386,": You May Like Him, Hate Him

But Thank You RanveerSingh For Exposing The Hypocrisy Of GenderBiasedLaws In India 

Voi…",0.9,-0.8,Negative
38,selenasapphic,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
39,chinthy_19,"  so now we have to feel sorry for this woman?she did this to her husband she try to ruin his life she lied under oath in 2 trials, so why should we feel sorry for this evil chick, when she's just a racist, mean, agresive person towards others? MENTOO JohnnyDeppIsASurvivor",0.921875,-0.578125,Negative
40,NDinEngland, so mentoo hasn't been used on Tiktok nearly 500k times since the trial started? No hasn't increased support at all for men. Honest...,0.65,0.35,Positive
41,StrawbryPoptart,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
42,NicolaaRoche," Alienated for the past 13 years he's 14 now 
MenToo  
AbuseHasNoGender ",0.25,-0.25,Negative
43,InigoBones," I reported her but it seems you can libel people as much as you want on   Accusing people of being child sex traffickers with evidence that will constantly be posted ""in the next few days"" for weeks on end is OK apparently. mentoo",0.24722222222222223,0.09166666666666667,Positive
44,pshpshpshpsh999,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
45,SAldawodie,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
46,Truthremains2,_MRA2022: Most misused law 498A in Matrimonial disputes.Asked those innocent family who have suffered immense harassment by Judi…,0.7333333333333334,0.3333333333333333,Positive
47,andre_hovland,_luna: My heart goes out to all the men out there that has been abused by their partner and felt like they can’t speak about it. I…,0.0,0.0,Neutral
48,BecamePottery,"@__ayeshaaaaa Um He didn’t hide any of his addictions or say he was perfect.He showed who the true victim  was him and if anything,he was abused all over again!By making it public,while embarrassing for him,it showed men are victims. MenToo",0.35000000000000003,0.13749999999999998,Positive
49,heyshellyeeee,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
50,TiredGayWoman,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
51,mommyt7177,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
52,jalisco_babe,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
53,MRASRAVI1,_mra: Day123 of Asking 'Will you form MensCommission &amp; SaveInnocentMen from FakeCases_498A_DV_125_377_376_354 &amp; GenderBiasedL…,0.0,0.0,Neutral
54,ShredSie,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
55,Ninney2021,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
56,LavitaOliver,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
57,AutisticFantom,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
58,loveforaheard,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
59,alexcabot_,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
